 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+04         1.00000E+04         1.80000E+02         1.00000E-05         1.69392E-04
     1.00000E+04         3.16228E+04         1.80000E+02         1.00000E-05         1.03385E-03
     1.00000E+04         1.00000E+05         1.80000E+02         1.00000E-05         1.93570E-03
     1.00000E+04         3.16228E+05         1.80000E+02         1.00000E-05         2.24615E-03
     1.00000E+04         1.00000E+06         1.80000E+02         1.00000E-05         2.34267E-03
     1.00000E+04         3.16228E+06         1.80000E+02         1.00000E-05         2.39265E-03
     1.00000E+04         1.00000E+07         1.80000E+02         1.00000E-05         2.43969E-03
     1.00000E+04         3.16228E+07         1.80000E+02         1.00000E-05         2.52015E-03
     1.00000E+04         1.00000E+08         1.80000E+02         1.00000E-05         2.78266E-03
     1.00000E+04         3.16228E+08         1.80000E+02         1.00000E-05         3.22515E-03
     1.00000E+04         1.00000E+09         1.80000E+02         1.00000E-05         3.43847E-03
     3.16228E+04         1.00000E+04         1.80000E+02         1.00000E-05         4.48791E-03
     3.16228E+04         3.16228E+04         1.80000E+02         1.00000E-05         2.49258E-02
     3.16228E+04         1.00000E+05         1.80000E+02         1.00000E-05         5.29267E-02
     3.16228E+04         3.16228E+05         1.80000E+02         1.00000E-05         6.54294E-02
     3.16228E+04         1.00000E+06         1.80000E+02         1.00000E-05         6.92564E-02
     3.16228E+04         3.16228E+06         1.80000E+02         1.00000E-05         7.07919E-02
     3.16228E+04         1.00000E+07         1.80000E+02         1.00000E-05         7.18799E-02
     3.16228E+04         3.16228E+07         1.80000E+02         1.00000E-05         7.37715E-02
     3.16228E+04         1.00000E+08         1.80000E+02         1.00000E-05         8.01907E-02
     3.16228E+04         3.16228E+08         1.80000E+02         1.00000E-05         9.07734E-02
     3.16228E+04         1.00000E+09         1.80000E+02         1.00000E-05         9.57405E-02
     1.00000E+05         1.00000E+04         1.80000E+02         1.00000E-05         4.85722E-02
     1.00000E+05         3.16228E+04         1.80000E+02         1.00000E-05         2.32464E-01
     1.00000E+05         1.00000E+05         1.80000E+02         1.00000E-05         6.28909E-01
     1.00000E+05         3.16228E+05         1.80000E+02         1.00000E-05         9.43887E-01
     1.00000E+05         1.00000E+06         1.80000E+02         1.00000E-05         1.05804E+00
     1.00000E+05         3.16228E+06         1.80000E+02         1.00000E-05         1.09775E+00
     1.00000E+05         1.00000E+07         1.80000E+02         1.00000E-05         1.11737E+00
     1.00000E+05         3.16228E+07         1.80000E+02         1.00000E-05         1.14401E+00
     1.00000E+05         1.00000E+08         1.80000E+02         1.00000E-05         1.23134E+00
     1.00000E+05         3.16228E+08         1.80000E+02         1.00000E-05         1.37328E+00
     1.00000E+05         1.00000E+09         1.80000E+02         1.00000E-05         1.43913E+00
     3.16228E+05         1.00000E+04         1.80000E+02         1.00000E-05         3.30403E-01
     3.16228E+05         3.16228E+04         1.80000E+02         1.00000E-05         1.25845E+00
     3.16228E+05         1.00000E+05         1.80000E+02         1.00000E-05         3.89618E+00
     3.16228E+05         3.16228E+05         1.80000E+02         1.00000E-05         8.41022E+00
     3.16228E+05         1.00000E+06         1.80000E+02         1.00000E-05         1.13803E+01
     3.16228E+05         3.16228E+06         1.80000E+02         1.00000E-05         1.24443E+01
     3.16228E+05         1.00000E+07         1.80000E+02         1.00000E-05         1.28723E+01
     3.16228E+05         3.16228E+07         1.80000E+02         1.00000E-05         1.32348E+01
     3.16228E+05         1.00000E+08         1.80000E+02         1.00000E-05         1.42123E+01
     3.16228E+05         3.16228E+08         1.80000E+02         1.00000E-05         1.57705E+01
     3.16228E+05         1.00000E+09         1.80000E+02         1.00000E-05         1.64937E+01
     1.00000E+06         1.00000E+04         1.80000E+02         1.00000E-05         1.48929E+00
     1.00000E+06         3.16228E+04         1.80000E+02         1.00000E-05         5.18956E+00
     1.00000E+06         1.00000E+05         1.80000E+02         1.00000E-05         1.64177E+01
     1.00000E+06         3.16228E+05         1.80000E+02         1.00000E-05         4.55877E+01
     1.00000E+06         1.00000E+06         1.80000E+02         1.00000E-05         9.22621E+01
     1.00000E+06         3.16228E+06         1.80000E+02         1.00000E-05         1.20952E+02
     1.00000E+06         1.00000E+07         1.80000E+02         1.00000E-05         1.31578E+02
     1.00000E+06         3.16228E+07         1.80000E+02         1.00000E-05         1.37525E+02
     1.00000E+06         1.00000E+08         1.80000E+02         1.00000E-05         1.48249E+02
     1.00000E+06         3.16228E+08         1.80000E+02         1.00000E-05         1.64539E+02
     1.00000E+06         1.00000E+09         1.80000E+02         1.00000E-05         1.72194E+02
     3.16228E+06         1.00000E+04         1.80000E+02         1.00000E-05         5.24316E+00
     3.16228E+06         3.16228E+04         1.80000E+02         1.00000E-05         1.77050E+01
     3.16228E+06         1.00000E+05         1.80000E+02         1.00000E-05         5.70286E+01
     3.16228E+06         3.16228E+05         1.80000E+02         1.00000E-05         1.74180E+02
     3.16228E+06         1.00000E+06         1.80000E+02         1.00000E-05         4.75806E+02
     3.16228E+06         3.16228E+06         1.80000E+02         1.00000E-05         9.51717E+02
     3.16228E+06         1.00000E+07         1.80000E+02         1.00000E-05         1.23756E+03
     3.16228E+06         3.16228E+07         1.80000E+02         1.00000E-05         1.35774E+03
     3.16228E+06         1.00000E+08         1.80000E+02         1.00000E-05         1.48479E+03
     3.16228E+06         3.16228E+08         1.80000E+02         1.00000E-05         1.65736E+03
     3.16228E+06         1.00000E+09         1.80000E+02         1.00000E-05         1.74182E+03
     1.00000E+07         1.00000E+04         1.80000E+02         1.00000E-05         1.73380E+01
     1.00000E+07         3.16228E+04         1.80000E+02         1.00000E-05         5.71415E+01
     1.00000E+07         1.00000E+05         1.80000E+02         1.00000E-05         1.84092E+02
     1.00000E+07         3.16228E+05         1.80000E+02         1.00000E-05         5.80636E+02
     1.00000E+07         1.00000E+06         1.80000E+02         1.00000E-05         1.76278E+03
